ID;Bezeichnung;Quelle;Reifegrad;IoT;Cyber Physical System;Cloud Computing;Machine Learning;DLT (Distributed Ledger);Mobile based systems;Anbieter;Technologie;Maturity Index;Strategische Ziele;Branche;Funktion;SCOR1;Unterprozess
169;Einsatz autonomer Postbusse in Sion;https://www.postauto.ch/de/technologie;Pilotanwendung;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;Navya (https://navya.tech/);Autonome Fahrzeuge;Adaptierbarkeit;Image & Reputation;Public Transport;Transport;Make;Make4:
169;Einsatz autonomer Postbusse in Sion;https://www.postauto.ch/de/technologie;Pilotanwendung;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;Navya (https://navya.tech/);Autonome Fahrzeuge;Adaptierbarkeit;Sicherheit;Public Transport;Transport;Make;Make4:
170;Einsatz autonomer LKWs zur Auslieferung von Waren bei der Chinesischen Post;https://www.freightwaves.com/news/techology/china-to-begin-daily-autonomous-delivery;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FABU Technology Co.. Ltd. (http://fabu.ai/en/about.aspx);Autonome Fahrzeuge;Adaptierbarkeit;Kosten;Logistik & Post;Transport;Deliver;Deliver12:
171;Zustellroboter von Starship Technologies liefert die Pizza von Domino an Kunden in Deutschland (Hamburg);https://www.nzz.ch/wirtschaft/roboter-post-will-mit-erneutem-test-lieferroboter-in-logistik-einbinden-ld.1313205;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Starship Technologies (https://www.starship.xyz/business/);Autonome Fahrzeuge;Adaptierbarkeit;Kundenbeziehung;Gastronomie;Transport;Deliver;Deliver12:
171;Zustellroboter von Starship Technologies liefert die Pizza von Domino an Kunden in Deutschland (Hamburg);https://www.nzz.ch/wirtschaft/roboter-post-will-mit-erneutem-test-lieferroboter-in-logistik-einbinden-ld.1313205;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Starship Technologies (https://www.starship.xyz/business/);Autonome Fahrzeuge;Adaptierbarkeit;Image & Reputation;Gastronomie;Transport;Deliver;Deliver12:
172;Amazon: Intralogisitkroboter waehlen Produkte aus und bringen sie zu den Arbeitern. welche diese einsammeln;https://www.wired.com/story/amazon-warehouse-robots/;Prototyp;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Amazon Robotics (https://www.amazonrobotics.com/#/);Autonome Transportsysteme;Konnektivitaet;Kosten;Logistik & Post;Transport;Deliver;Deliver8-11:
173;Rio Tinto verwendet autonomen Zug um Eisenerz in Westaustralien zu transportieren;https://social-innovation.hitachi/-/media/project/hitachi/sib/en-au/events/pdf/Roslyn-Stuart-slide.pdf;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Eigenentwicklung in Zusammenarbeit mit  Ansaldo STS;Autonome Fahrzeuge;Adaptierbarkeit;Prozessdauer;Rohstoffe & Bergbau;Transport;Deliver;Deliver12:
173;Rio Tinto verwendet autonomen Zug um Eisenerz in Westaustralien zu transportieren;https://social-innovation.hitachi/-/media/project/hitachi/sib/en-au/events/pdf/Roslyn-Stuart-slide.pdf;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Eigenentwicklung in Zusammenarbeit mit  Ansaldo STS;Autonome Fahrzeuge;Adaptierbarkeit;Kosten;Rohstoffe & Bergbau;Transport;Deliver;Deliver12:
174;Rio Tinto verwendet autonome LKWs um Waren in westaustralischen Minen zu transportieren;https://www.scania.com/ch/de/home/experience-scania/news-and-events/News/archive/2019/01/riotinto.html;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Scania AB (https://www.scania.com/group/en/scania-and-rio-tinto-trialling-autonomous-truck-in-western-australian-mine/);Autonome Fahrzeuge;Adaptierbarkeit;Kosten;Rohstoffe & Bergbau;Transport;Make;Make3:
174;Rio Tinto verwendet autonome LKWs um Waren in westaustralischen Minen zu transportieren;https://www.scania.com/ch/de/home/experience-scania/news-and-events/News/archive/2019/01/riotinto.html;Pilotanwendung;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;Scania AB (https://www.scania.com/group/en/scania-and-rio-tinto-trialling-autonomous-truck-in-western-australian-mine/);Autonome Fahrzeuge;Adaptierbarkeit;Prozessdauer;Rohstoffe & Bergbau;Transport;Make;Make3:
